file,N,loadtype_code,loadtype,g_val,k_val,n_points,span,depth,shallow_flag,best_fit,decisive,catenary_r2,catenary_aic,catenary_bic,parabolic_r2,parabolic_aic,parabolic_bic,elliptical_r2,elliptical_aic,elliptical_bic
arch_run48_1_g-0.5_k50.0.csv,48,1,central_point,-0.5,50,49,9.9999,1.8786,FALSE,parabolic,TRUE,0.93298,-184.343,-178.668,0.93711,-187.463,-181.787,0.9371,-185.458,-177.89
arch_run48_1_g-0.7_k10.0.csv,48,1,central_point,-0.7,10,49,9.9999,3.9296,FALSE,parabolic,TRUE,0.92197,-104.563,-98.888,0.93711,-115.134,-109.459,0.9371,-113.126,-105.559
arch_run48_1_g-0.7_k25.0.csv,48,1,central_point,-0.7,25,49,9.9999,2.7366,FALSE,parabolic,TRUE,0.9289,-144.582,-138.907,0.93711,-150.595,-144.919,0.9371,-148.589,-141.021
arch_run48_1_g-0.7_k50.0.csv,48,1,central_point,-0.7,50,49,9.9998,2.1192,FALSE,parabolic,TRUE,0.93194,-171.776,-166.1,0.93711,-175.649,-169.973,0.9371,-173.642,-166.075
arch_run48_2_g-0.1_k10.0.csv,48,2,asymmetric,-0.1,10,49,9.9997,13.6743,FALSE,parabolic,TRUE,0.90363,33.05,38.726,0.94471,5.826,11.501,0.9447,7.83,15.397
arch_run48_2_g-0.1_k25.0.csv,48,2,asymmetric,-0.1,25,49,9.9995,7.5387,FALSE,parabolic,TRUE,0.91754,-32.521,-26.845,0.93827,-46.707,-41.031,0.93826,-44.702,-37.135
arch_run48_2_g-0.1_k50.0.csv,48,2,asymmetric,-0.1,50,49,9.9993,5.1927,FALSE,parabolic,TRUE,0.92369,-72.497,-66.822,0.93623,-81.297,-75.621,0.93623,-79.292,-71.725
arch_run48_2_g-0.3_k10.0.csv,48,2,asymmetric,-0.3,10,49,9.9997,13.6743,FALSE,parabolic,TRUE,0.90363,33.05,38.726,0.94471,5.826,11.501,0.9447,7.83,15.397
arch_run48_2_g-0.3_k25.0.csv,48,2,asymmetric,-0.3,25,49,9.9995,7.5387,FALSE,parabolic,TRUE,0.91754,-32.521,-26.845,0.93827,-46.707,-41.031,0.93826,-44.702,-37.135
arch_run48_2_g-0.3_k50.0.csv,48,2,asymmetric,-0.3,50,49,9.9993,5.1927,FALSE,parabolic,TRUE,0.92369,-72.497,-66.822,0.93623,-81.297,-75.621,0.93623,-79.292,-71.725
arch_run48_2_g-0.5_k10.0.csv,48,2,asymmetric,-0.5,10,49,9.9997,13.6743,FALSE,parabolic,TRUE,0.90363,33.05,38.726,0.94471,5.826,11.501,0.9447,7.83,15.397
arch_run48_2_g-0.5_k25.0.csv,48,2,asymmetric,-0.5,25,49,9.9995,7.5387,FALSE,parabolic,TRUE,0.91754,-32.521,-26.845,0.93827,-46.707,-41.031,0.93826,-44.702,-37.135
arch_run48_2_g-0.5_k50.0.csv,48,2,asymmetric,-0.5,50,49,9.9993,5.1927,FALSE,parabolic,TRUE,0.92369,-72.497,-66.822,0.93623,-81.297,-75.621,0.93623,-79.292,-71.725
arch_run48_2_g-0.7_k10.0.csv,48,2,asymmetric,-0.7,10,49,9.9997,13.6743,FALSE,parabolic,TRUE,0.90363,33.05,38.726,0.94471,5.826,11.501,0.9447,7.83,15.397
arch_run48_2_g-0.7_k25.0.csv,48,2,asymmetric,-0.7,25,49,9.9995,7.5387,FALSE,parabolic,TRUE,0.91754,-32.521,-26.845,0.93827,-46.707,-41.031,0.93826,-44.702,-37.135
arch_run48_2_g-0.7_k50.0.csv,48,2,asymmetric,-0.7,50,49,9.9993,5.1927,FALSE,parabolic,TRUE,0.92369,-72.497,-66.822,0.93623,-81.297,-75.621,0.93623,-79.292,-71.725
